Name,DBH (cm),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Celtis australis,21,8,2.4,6,28.3,1,0.16
Celtis australis,21,8,2.4,6,28.3,1,0.16
Celtis australis,21,8,2.4,6,28.3,1,0.16
Celtis australis,21,8,2.4,6,28.3,1,0.16
Celtis australis,20,8,2.4,6,28.3,1,0.16
Celtis australis,21,8,2.4,6,28.3,1,0.16
Celtis australis,22,8,2.4,6,28.3,1.1,0.17
Celtis australis,18,8,2.4,6,28.3,0.9,0.15
Celtis australis,22,8,2.4,6,28.3,1.1,0.17
Celtis australis,19,8,2.4,6,28.3,1,0.15
Celtis australis,19,8,2.4,6,28.3,1,0.15
Celtis australis,19,8,2.4,6,28.3,1,0.15
Celtis australis,22,8,2.4,6,28.3,1.1,0.17
Celtis australis,19,8,2.4,6,28.3,1,0.15
Celtis australis,23,8,2.4,6,28.3,1.1,0.18
Celtis australis,25,8,2.4,6,28.3,1.2,0.19
Celtis australis,12,6,1.8,5,19.6,0.7,0.11
Celtis australis,12,6,1.8,5,19.6,0.7,0.11
Celtis australis,18,8,2.4,6,28.3,0.9,0.15
Celtis australis,19,8,2.4,6,28.3,1,0.15
Celtis australis,16,7,2.1,5,19.6,0.8,0.14
Celtis australis,19,8,2.4,8,50.3,1,0.15
Celtis australis,18,7,2.1,6,28.3,0.9,0.15
Celtis australis,6,4,1.2,1.5,1.8,0.4,0.07000000000000001
Celtis australis,7,4,1.2,1.5,1.8,0.5,0.08
Celtis australis,12,5,1.5,4,12.6,0.7,0.11
Celtis australis,13,5,1.5,4,12.6,0.7,0.12
Celtis australis,7,4,1.2,1.5,1.8,0.5,0.08
Tilia cordata,18,5,1.5,4,12.6,2.4,0.39
Tilia cordata,11,4,1.2,2.5,4.9,1.3,0.2
Tilia cordata,15,4,1.2,4,12.6,1.9,0.31
Tilia cordata,10,4,1.2,2.5,4.9,1.1,0.18
Tilia cordata,18,6,1.8,4.5,15.9,2.4,0.39
Tilia cordata,7,4.5,1.3,1,0.8,0.7,0.11
Tilia cordata,7,4.5,1.3,1,0.8,0.7,0.11
Tilia cordata,15,5,1.5,4,12.6,1.9,0.31
Tilia cordata,17,6,1.8,4,12.6,2.3,0.36
Tilia cordata,8,4,1.2,1,0.8,0.8,0.13
Tilia cordata,7,4,1.2,1.5,1.8,0.7,0.11
Tilia cordata,17,5,1.5,4,12.6,2.3,0.36
Tilia cordata,6,3.5,1,2,3.1,0.6,0.09
Tilia cordata,21,4,1.2,4.5,15.9,3,0.48
Celtis australis,7,4,1.2,1.5,1.8,0.5,0.08
Celtis australis,10,5,1.5,2.5,4.9,0.6,0.1
Celtis australis,7,4,1.2,1.5,1.8,0.5,0.08
Celtis australis,12,5,1.5,2.5,4.9,0.7,0.11
Celtis australis,11,5,1.5,2.5,4.9,0.7,0.1
Celtis australis,19,6,1.8,6,28.3,1,0.15
Celtis australis,18,6,1.8,6,28.3,0.9,0.15
Celtis australis,22,8,2.4,6,28.3,1.1,0.17
Tilia cordata,12,4,1.2,3,7.1,1.4,0.23
Tilia cordata,16,5,1.5,4,12.6,2.1,0.34
Tilia cordata,15,5,1.5,4,12.6,1.9,0.31
Tilia cordata,13,5,1.5,3,7.1,1.6,0.25
Carpinus betulus,12,4.5,1.3,3,7.1,2.1,0.34
Carpinus betulus,12,4.5,1.3,3,7.1,2.1,0.34
Carpinus betulus,10,5,1.5,2.5,4.9,1.7,0.27
Carpinus betulus,11,5,1.5,3,7.1,1.9,0.3
Carpinus betulus,8,4.5,1.3,2.5,4.9,1.3,0.21
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,10,5,1.5,2,3.1,1.7,0.27
Platanus x hispanica,12,5,1.5,3,7.1,2,0.32
Platanus x hispanica,22,7,2.1,6,28.3,4.7,0.76
Platanus x hispanica,21,7,2.1,6,28.3,4.4,0.71
Platanus x hispanica,18,7,2.1,6,28.3,3.5,0.5600000000000001
Platanus x hispanica,19,7,2.1,6,28.3,3.8,0.61
Platanus x hispanica,13,5,1.5,3,7.1,2.2,0.35
Platanus x hispanica,16,8,2.4,6,28.3,3,0.48
Platanus x hispanica,33,13,3.9,10,78.5,8.5,1.37
Platanus x hispanica,33,12,3.6,10,78.5,8.5,1.37
Platanus x hispanica,22,11,3.3,8,50.3,4.7,0.76
Platanus x hispanica,7,6,1.8,1.5,1.8,0.9,0.15
Platanus x hispanica,32,12,3.6,10,78.5,8.199999999999999,1.31
Platanus x hispanica,21,11,3.3,9,63.6,4.4,0.71
Platanus x hispanica,28,12,3.6,10,78.5,6.7,1.08
Platanus x hispanica,22,11,3.3,9,63.6,4.7,0.76
Platanus x hispanica,29,12,3.6,11,95,7.1,1.14
Platanus x hispanica,15,8,2.4,5.5,23.8,2.7,0.43
Celtis australis,7,4,1.2,1,0.8,0.5,0.08
Celtis australis,13,6,1.8,4,12.6,0.7,0.12
Celtis australis,14,6,1.8,4,12.6,0.8,0.12
Platanus x hispanica,19,10,3,9,63.6,3.8,0.61
Platanus x hispanica,28,12,3.6,10,78.5,6.7,1.08
Platanus x hispanica,31,12,3.6,10,78.5,7.8,1.25
Platanus x hispanica,18,8,2.4,7,38.5,3.5,0.5600000000000001
Platanus x hispanica,18,8,2.4,8,50.3,3.5,0.5600000000000001
Platanus x hispanica,22,11,3.3,8,50.3,4.7,0.76
Platanus x hispanica,24,11,3.3,9,63.6,5.3,0.86
Platanus x hispanica,24,11,3.3,9,63.6,5.3,0.86
Platanus x hispanica,21,10,3,8,50.3,4.4,0.71
Platanus x hispanica,24,12,3.6,11,95,5.3,0.86
Platanus x hispanica,29,11,3.3,10,78.5,7.1,1.14
Platanus x hispanica,18,7,2.1,7,38.5,3.5,0.5600000000000001
Tilia cordata,25,10,3,8,50.3,3.8,0.61
Tilia cordata,19,10,3,8,50.3,2.6,0.42
Tilia cordata,16,7,2.1,4,12.6,2.1,0.34
Tilia cordata,16,7,2.1,4,12.6,2.1,0.34
Tilia cordata,17,7,2.1,6,28.3,2.3,0.36
Tilia cordata,14,6,1.8,4,12.6,1.7,0.28
Tilia cordata,13,6,1.8,4,12.6,1.6,0.25
Tilia cordata,13,6,1.8,6,28.3,1.6,0.25
Tilia cordata,15,7,2.1,6,28.3,1.9,0.31
Tilia cordata,14,7,2.1,7,38.5,1.7,0.28
Tilia cordata,18,8,2.4,7,38.5,2.4,0.39
Tilia cordata,6,4,1.2,1,0.8,0.6,0.09
Tilia cordata,13,6,1.8,4,12.6,1.6,0.25
Tilia cordata,6,5,1.5,1.5,1.8,0.6,0.09
Tilia cordata,10,6,1.8,2.5,4.9,1.1,0.18
Tilia cordata,7,2.5,0.8,1,0.8,0.7,0.11
Tilia cordata,12,4.5,1.3,4,12.6,1.4,0.23
Tilia cordata,10,4,1.2,2,3.1,1.1,0.18
Tilia cordata,10,4,1.2,2,3.1,1.1,0.18
Tilia cordata,19,6.5,1.9,4,12.6,2.6,0.42
Tilia cordata,8,4,1.2,1.5,1.8,0.8,0.13
Tilia cordata,16,5.5,1.7,5,19.6,2.1,0.34
Tilia cordata,16,5.5,1.7,6,28.3,2.1,0.34
Tilia cordata,7,4,1.2,1,0.8,0.7,0.11
Tilia cordata,7,4,1.2,1,0.8,0.7,0.11
Tilia cordata,18,6,1.8,6,28.3,2.4,0.39
Tilia cordata,16,5.5,1.7,5,19.6,2.1,0.34
Tilia cordata,7,4,1.2,1,0.8,0.7,0.11
Tilia cordata,7,4,1.2,1.5,1.8,0.7,0.11
Tilia cordata,7,4,1.2,1.5,1.8,0.7,0.11
Tilia cordata,17,5,1.5,5,19.6,2.3,0.36
Tilia cordata,17,5,1.5,5,19.6,2.3,0.36
Tilia cordata,12,4,1.2,3,7.1,1.4,0.23
Tilia cordata,18,4,1.2,4,12.6,2.4,0.39
Platanus x hispanica,10,5,1.5,2.5,4.9,1.5,0.24
Platanus x hispanica,10,5,1.5,2.5,4.9,1.5,0.24
Platanus x hispanica,14,6,1.8,2,3.1,2.4,0.39
Platanus x hispanica,14,6,1.8,2,3.1,2.4,0.39
Platanus x hispanica,13,5,1.5,1.5,1.8,2.2,0.35
Platanus x hispanica,13,6,1.8,2,3.1,2.2,0.35
Platanus x hispanica,13,6,1.8,2,3.1,2.2,0.35
Platanus x hispanica,13,7,2.1,3,7.1,2.2,0.35
Platanus x hispanica,13,7,2.1,3,7.1,2.2,0.35
Platanus x hispanica,13,7,2.1,3,7.1,2.2,0.35
Platanus x hispanica,10,4,1.2,2.5,4.9,1.5,0.24
Platanus x hispanica,10,6,1.8,2.5,4.9,1.5,0.24
Platanus x hispanica,15,5,1.5,3,7.1,2.7,0.43
Platanus x hispanica,13,5,1.5,3,7.1,2.2,0.35
Platanus x hispanica,15,6,1.8,3,7.1,2.7,0.43
Platanus x hispanica,15,6,1.8,3,7.1,2.7,0.43
Platanus x hispanica,15,6,1.8,3,7.1,2.7,0.43
Platanus x hispanica,10,6,1.8,2.5,4.9,1.5,0.24
Platanus x hispanica,10,6,1.8,2.5,4.9,1.5,0.24
Platanus x hispanica,10,6,1.8,2.5,4.9,1.5,0.24
Platanus x hispanica,11,7,2.1,3,7.1,1.7,0.28
Platanus x hispanica,12,7,2.1,3,7.1,2,0.32
Platanus x hispanica,12,7,2.1,3,7.1,2,0.32
Platanus x hispanica,11,6,1.8,2.5,4.9,1.7,0.28
Platanus x hispanica,11,7,2.1,3,7.1,1.7,0.28
Platanus x hispanica,11,7,2.1,3,7.1,1.7,0.28
Platanus x hispanica,10,6,1.8,3,7.1,1.5,0.24
Platanus x hispanica,10,6,1.8,3,7.1,1.5,0.24
Platanus x hispanica,10,6,1.8,3,7.1,1.5,0.24
Celtis australis,15,5,1.5,4,12.6,0.8,0.13
Celtis australis,15,5,1.5,4,12.6,0.8,0.13
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,12,4,1.2,3,7.1,0.7,0.11
Celtis australis,13,4,1.2,4,12.6,0.7,0.12
Celtis australis,13,4,1.2,4,12.6,0.7,0.12
Celtis australis,15,4,1.2,4,12.6,0.8,0.13
Celtis australis,15,5,1.5,4,12.6,0.8,0.13
Celtis australis,15,5,1.5,4,12.6,0.8,0.13
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,14,4,1.2,4,12.6,0.8,0.12
Celtis australis,12,4,1.2,4,12.6,0.7,0.11
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,12,4,1.2,4,12.6,0.7,0.11
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,12,5,1.5,3,7.1,0.7,0.11
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,12,4.5,1.3,4,12.6,0.7,0.11
Celtis australis,13,5,1.5,4,12.6,0.7,0.12
Celtis australis,14,4,1.2,5,19.6,0.8,0.12
Celtis australis,13,5,1.5,4,12.6,0.7,0.12
Celtis australis,13,5,1.5,4,12.6,0.7,0.12
Celtis australis,11,4.5,1.3,3,7.1,0.7,0.1
Celtis australis,13,5,1.5,4,12.6,0.7,0.12
Celtis australis,11,4.5,1.3,3,7.1,0.7,0.1
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,13,5,1.5,4,12.6,0.7,0.12
Celtis australis,13,5,1.5,4,12.6,0.7,0.12
Celtis australis,13,5,1.5,4,12.6,0.7,0.12
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,11,4,1.2,1.5,1.8,3,0.48
Tilia x europaea,9,5,1.5,1.5,1.8,2.3,0.37
Tilia x europaea,9,4,1.2,1.5,1.8,2.3,0.37
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,9,5,1.5,1.5,1.8,2.3,0.37
Tilia x europaea,8,4,1.2,1.5,1.8,2,0.32
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,4,1.2,1.5,1.8,2.6,0.43
Tilia x europaea,9,4,1.2,1.5,1.8,2.3,0.37
Tilia x europaea,9,4,1.2,1.5,1.8,2.3,0.37
Tilia x europaea,9,3,0.9,1.5,1.8,2.3,0.37
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,9,3,0.9,1.5,1.8,2.3,0.37
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,4,1.2,1.5,1.8,2.6,0.43
Tilia x europaea,8,3,0.9,1.5,1.8,2,0.32
Tilia x europaea,10,4,1.2,1.5,1.8,2.6,0.43
Tilia x europaea,8,4,1.2,1.5,1.8,2,0.32
Tilia x europaea,9,4,1.2,1.5,1.8,2.3,0.37
Tilia x europaea,9,4,1.2,1.5,1.8,2.3,0.37
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,10,5,1.5,1.5,1.8,2.6,0.43
Tilia x europaea,9,5,1.5,2.5,4.9,2.3,0.37
Tilia x europaea,9,5,1.5,2.5,4.9,2.3,0.37
Tilia x europaea,8,5,1.5,1.5,1.8,2,0.32
Tilia x europaea,8,5,1.5,1.5,1.8,2,0.32
Tilia x europaea,10,5,1.5,2,3.1,2.6,0.43
Tilia x europaea,9,5,1.5,2.5,4.9,2.3,0.37
Tilia x europaea,9,5,1.5,2.5,4.9,2.3,0.37
Tilia x europaea,9,5,1.5,2.5,4.9,2.3,0.37
Tilia x europaea,9,5,1.5,2.5,4.9,2.3,0.37
Tilia x europaea,11,5,1.5,3,7.1,3,0.48
Tilia x europaea,11,5,1.5,3,7.1,3,0.48
Tilia x europaea,9,4,1.2,2.5,4.9,2.3,0.37
Tilia x europaea,9,5,1.5,2.5,4.9,2.3,0.37
Tilia x europaea,9,5,1.5,2.5,4.9,2.3,0.37
Tilia x europaea,8,5,1.5,2.5,4.9,2,0.32
Tilia x europaea,9,4,1.2,2.5,4.9,2.3,0.37
Tilia x europaea,9,4,1.2,2.5,4.9,2.3,0.37
Tilia x europaea,9,4,1.2,2.5,4.9,2.3,0.37
Tilia x europaea,12,5,1.5,4,12.6,3.4,0.54
Tilia x europaea,12,4,1.2,4,12.6,3.4,0.54
Tilia x europaea,9,4,1.2,2.5,4.9,2.3,0.37
Celtis australis,4,4,1.2,2,3.1,0.3,0.05
Platanus x hispanica,80,18,5.4,15,176.7,31,4.98
Platanus x hispanica,70,18,5.4,16,201.1,25.6,4.12
Platanus x hispanica,75,24,7.2,17,227,28.3,4.54
Aesculus hippocastanum,50,15,4.5,15,176.7,13.7,2.21
Tilia x europaea,55,15,4.5,12,113.1,26.4,4.24
Aesculus hippocastanum,60,15,4.5,12,113.1,18,2.88
Aesculus hippocastanum,60,14,4.2,11,95,17.9,2.87
Aesculus hippocastanum,52.5,16,4.8,6,28.3,14.8,2.38
Celtis australis,17,6,1.8,4,12.6,0.9,0.14
Celtis australis,22,6,1.8,4,12.6,1.1,0.17
Celtis australis,23,7,2.1,5,19.6,1.1,0.18
Celtis australis,35,10,3,7,38.5,1.5,0.24
Celtis australis,28,9,2.7,8,50.3,1.3,0.2
Celtis australis,28,8,2.4,7,38.5,1.3,0.2
Celtis australis,29,12,3.6,12,113.1,1.3,0.21
Celtis australis,33,9,2.7,8,50.3,1.4,0.23
Celtis australis,28,9,2.7,7,38.5,1.3,0.2
Celtis australis,20,8,2.4,6,28.3,1,0.16
Tilia cordata,25,10,3,6,28.3,3.8,0.61
Tilia cordata,25,10,3,6,28.3,3.8,0.61
Celtis australis,25,10,3,6,28.3,1.2,0.19
Celtis australis,25,10,3,6,28.3,1.2,0.19
Celtis australis,29,10,3,8,50.3,1.3,0.21
Celtis australis,27,8,2.4,6,28.3,1.2,0.2
Celtis australis,25,8,2.4,6,28.3,1.2,0.19
Celtis australis,18,7,2.1,6,28.3,0.9,0.15
Celtis australis,22,8,2.4,8,50.3,1.1,0.17
Celtis australis,22,8,2.4,8,50.3,1.1,0.17
Celtis australis,16,8,2.4,6,28.3,0.8,0.14
Celtis australis,20,6,1.8,6,28.3,1,0.16
Celtis australis,50,15,4.5,12,113.1,1.9,0.3
Celtis australis,46,12.5,3.8,11,95,1.8,0.29
Celtis australis,46,13,3.9,12,113.1,1.8,0.29
Celtis australis,45,12,3.6,12,113.1,1.8,0.28
Celtis australis,46,13,3.9,12,113.1,1.8,0.29
Celtis australis,18,5,1.5,4,12.6,0.9,0.15
Carpinus betulus,17,6.2,1.9,3.6,10.1,3.2,0.52
Celtis australis,16,5,1.5,5,19.6,0.8,0.14
Celtis australis,14,5,1.5,4,12.6,0.8,0.12
Celtis australis,15,5,1.5,4,12.6,0.8,0.13
Celtis australis,12,3.5,1,4,12.6,0.7,0.11
Celtis australis,13,4,1.2,4,12.6,0.7,0.12
Tilia x europaea,94.5,20,6,12,113.1,51.6,8.300000000000001
Tilia x europaea,73.90000000000001,20,6,10,78.5,39.3,6.32
Celtis australis,80,14,4.2,4,12.6,1.2,0.19
Celtis australis,60,14,4.2,6,28.3,2.2,0.35
Celtis australis,70,15,4.5,8,50.3,1.8,0.29
Celtis australis,65,15,4.5,9,63.6,2,0.32
Celtis australis,85,18,5.4,11,95,0.8,0.13
Celtis australis,45,16,4.8,10,78.5,1.8,0.28
Celtis australis,45,15,4.5,15,176.7,1.8,0.28
Celtis australis,60,18,5.4,9,63.6,2.2,0.35
Carpinus betulus,20,8,2.4,4,12.6,3.9,0.63
Carpinus betulus,35,15,4.5,4,12.6,6.1,0.98
Carpinus betulus,20,8,2.4,4,12.6,3.9,0.63
Celtis australis,35,25,7.5,4,12.6,1.5,0.24
Aesculus hippocastanum,18,6,1.8,4,12.6,3,0.48
Aesculus hippocastanum,20,6,1.8,4,12.6,3.4,0.55
Aesculus hippocastanum,65,14,4.2,10,78.5,20.1,3.23
Aesculus hippocastanum,15,12,3.6,6,28.3,2.5,0.4
Aesculus hippocastanum,15,5,1.5,2,3.1,2.3,0.36
Tilia x europaea,8,5,1.5,2.5,4.9,2,0.32
Tilia x europaea,18,8,2.4,6,28.3,5.8,0.9399999999999999
Carpinus betulus,3,3,0.9,2,3.1,0.5,0.08
Aesculus hippocastanum,50,12,3.6,10,78.5,13.6,2.18
Tilia x europaea,12,6,1.8,4,12.6,3.4,0.54
Carpinus betulus,60,20,6,4,12.6,0.4,0.06
Carpinus betulus,40,18,5.4,4,12.6,4.4,0.71
Carpinus betulus,70,25,7.5,4,12.6,0.5,0.08
Carpinus betulus,10,8,2.4,2,3.1,1.7,0.27
Carpinus betulus,10,8,2.4,2,3.1,1.7,0.27
Carpinus betulus,10,8,2.4,2,3.1,1.7,0.27
Carpinus betulus,10,8,2.4,2,3.1,1.7,0.27
Carpinus betulus,10,8,2.4,2,3.1,1.7,0.27
Carpinus betulus,6,7,2.1,1.5,1.8,1,0.15
Celtis australis,60,20,6,4,12.6,2.2,0.35
Celtis australis,25,20,6,4,12.6,1.2,0.19
Aesculus hippocastanum,30,20,6,5,19.6,6.8,1.09
Aesculus hippocastanum,30,8,2.4,4,12.6,6.3,1.01
Aesculus hippocastanum,25,6,1.8,4,12.6,4.7,0.76
Aesculus hippocastanum,62,12,3.6,10,78.5,18.6,2.99
Aesculus hippocastanum,60,12,3.6,8,50.3,17.7,2.85
Aesculus hippocastanum,18,7,2.1,4,12.6,3,0.48
Aesculus hippocastanum,28,8,2.4,6,28.3,5.7,0.91
Aesculus hippocastanum,38,10,3,6,28.3,9,1.44
Aesculus hippocastanum,40,8,2.4,6,28.3,9.6,1.54
Aesculus hippocastanum,45,9,2.7,6,28.3,11.4,1.84
Aesculus hippocastanum,70,12,3.6,8,50.3,22.3,3.58
Aesculus hippocastanum,60,12,3.6,8,50.3,17.7,2.85
Aesculus hippocastanum,50,9,2.7,8,50.3,13.4,2.15
Aesculus hippocastanum,80,14,4.2,8,50.3,27.4,4.4
Aesculus hippocastanum,30,6,1.8,6,28.3,6.2,0.99
Aesculus hippocastanum,40,12,3.6,5,19.6,9.800000000000001,1.57
Aesculus hippocastanum,50,8,2.4,7,38.5,13.3,2.14
Aesculus hippocastanum,35,7,2.1,4,12.6,7.8,1.25
Aesculus hippocastanum,40,8,2.4,4,12.6,9.6,1.54
Aesculus hippocastanum,25,8,2.4,2,3.1,4.8,0.78
Aesculus hippocastanum,60,8,2.4,8,50.3,17.5,2.8
Aesculus hippocastanum,28,6,1.8,4,12.6,5.6,0.9
Aesculus hippocastanum,25,5,1.5,3,7.1,4.7,0.75
Tilia cordata,13,6,1.8,3,7.1,1.6,0.25
Tilia cordata,10,5,1.5,3,7.1,1.1,0.18
Tilia cordata,7,4,1.2,2.5,4.9,0.7,0.11
Tilia cordata,8,4,1.2,2,3.1,0.8,0.13
Tilia cordata,10,3.5,1,2.5,4.9,1.1,0.18
Tilia cordata,11,6,1.8,3,7.1,1.3,0.2
Tilia cordata,8,5,1.5,2,3.1,0.8,0.13
Tilia cordata,7,3,0.9,1,0.8,0.7,0.11
Tilia cordata,12,6,1.8,4,12.6,1.4,0.23
Tilia cordata,19,7,2.1,6,28.3,2.6,0.42
Tilia cordata,26,8,2.4,8,50.3,4,0.65
Tilia cordata,21,7,2.1,7,38.5,3,0.48
Tilia cordata,22,8,2.4,7,38.5,3.2,0.52
Platanus x hispanica,32,10,3,11,95,8.199999999999999,1.31
Tilia x europaea,18,6,1.8,3,7.1,5.8,0.9399999999999999
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,4,12.6,2.3,0.37
Carpinus betulus,13,6,1.8,5,19.6,2.3,0.37
Carpinus betulus,8,3.5,1,1,0.8,1.3,0.21
Carpinus betulus,14,6,1.8,5,19.6,2.5,0.4
Carpinus betulus,11,6,1.8,4,12.6,1.9,0.3
Tilia x europaea,19,6,1.8,3.5,9.6,6.3,1.01
Tilia x europaea,23,8,2.4,6.5,33.2,8.1,1.3
Tilia x europaea,38,11,3.3,10,78.5,16,2.57
Tilia x europaea,18,6,1.8,4,12.6,5.8,0.9399999999999999
Celtis australis,52,13,3.9,13,132.7,2,0.31
Celtis australis,19,6,1.8,4,12.6,1,0.15
Celtis australis,20,6,1.8,4,12.6,1,0.16
Celtis australis,14,5,1.5,3,7.1,0.8,0.12
Celtis australis,26,6,1.8,4,12.6,1.2,0.19
Celtis australis,64,13,3.9,13,132.7,2.1,0.33
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Aesculus hippocastanum,75,22,6.6,20,314.2,25.5,4.1
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Carpinus betulus,7,4,1.2,2,3.1,1.1,0.18
Carpinus betulus,7,4,1.2,3,7.1,1.1,0.18
Carpinus betulus,13,8,2.4,6,28.3,2.3,0.37
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Carpinus betulus,60,20,6,4,12.6,0.4,0.06
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,22,8,2.4,6,28.3,1.1,0.17
Aesculus hippocastanum,22,10,3,8,50.3,4.1,0.66
Carpinus betulus,18,10,3,6,28.3,3.5,0.55
Carpinus betulus,12,5,1.5,4,12.6,2.1,0.34
Carpinus betulus,18,10,3,6,28.3,3.5,0.55
Carpinus betulus,23,10,3,6,28.3,4.7,0.76
Aesculus hippocastanum,50,10,3,10,78.5,13.4,2.16
Aesculus hippocastanum,50,10,3,10,78.5,13.4,2.16
Celtis australis,40,13,3.9,10,78.5,1.6,0.26
Aesculus hippocastanum,60,10,3,8,50.3,17.6,2.83
Aesculus hippocastanum,18,6,1.8,3,7.1,3,0.48
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Aesculus hippocastanum,39.6,8.4,2.5,6.4,32.7,9.4,1.51
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Aesculus hippocastanum,35,11,3.3,8,50.3,8,1.29
Aesculus hippocastanum,45,10,3,8,50.3,11.5,1.85
Aesculus hippocastanum,40,11,3.3,8,50.3,9.699999999999999,1.56
Aesculus hippocastanum,24,6,1.8,5,19.6,4.5,0.72
Aesculus hippocastanum,44,11,3.3,10,78.5,11.2,1.8
Aesculus hippocastanum,40,7,2.1,16,201.1,9.5,1.53
Celtis australis,37,11,3.3,10,78.5,1.5,0.25
Celtis australis,35,12,3.6,10,78.5,1.5,0.24
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Aesculus hippocastanum,60,10,3,6,28.3,17.6,2.83
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,22,5.5,1.7,3,7.1,1.1,0.17
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,30.1,8.300000000000001,2.5,6.7,35.2,1.3,0.21
Celtis australis,25,8,2.4,6,28.3,1.2,0.19
Celtis australis,29,9,2.7,8,50.3,1.3,0.21
Aesculus hippocastanum,45,8,2.4,6,28.3,11.4,1.83
Aesculus hippocastanum,30,6,1.8,5,19.6,6.2,0.99
Aesculus hippocastanum,30,12,3.6,6,28.3,6.5,1.04
Aesculus hippocastanum,40,12,3.6,8,50.3,9.800000000000001,1.57
Aesculus hippocastanum,28,7,2.1,4,12.6,5.6,0.91
Aesculus hippocastanum,42,9,2.7,7,38.5,10.3,1.66
Aesculus hippocastanum,40,12,3.6,6,28.3,9.800000000000001,1.57
Aesculus hippocastanum,62,10,3,10,78.5,18.5,2.97
Aesculus hippocastanum,50,8,2.4,6,28.3,13.3,2.14
Aesculus hippocastanum,35,9,2.7,4,12.6,7.9,1.27
Aesculus hippocastanum,10,4,1.2,2,3.1,1.3,0.2
Aesculus hippocastanum,55,12,3.6,8,50.3,15.6,2.51
Aesculus hippocastanum,45,8,2.4,4,12.6,11.4,1.83
Aesculus hippocastanum,40,12,3.6,6,28.3,9.800000000000001,1.57
Aesculus hippocastanum,50,12,3.6,6,28.3,13.6,2.18
