Name,DBH (cm),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr)
Carpinus betulus,20,8,2.4,3,7.1,3.9,0.63
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,10,6,1.8,3,7.1,1.7,0.27
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,4,6,1.8,2,3.1,0.6,0.1
Carpinus betulus,10,8,2.4,3,7.1,1.7,0.27
Carpinus betulus,20,6,1.8,3,7.1,3.9,0.63
Carpinus betulus,10,4,1.2,3,7.1,1.7,0.27
Carpinus betulus,25,15,4.5,4,12.6,5.3,0.85
Carpinus betulus,35,15,4.5,4,12.6,6.1,0.98
Carpinus betulus,10,15,4.5,3,7.1,1.7,0.27
Carpinus betulus,10,8,2.4,3,7.1,1.7,0.27
Carpinus betulus,20,15,4.5,4,12.6,3.9,0.63
Carpinus betulus,10,8,2.4,3,7.1,1.7,0.27
Carpinus betulus,15,8,2.4,4,12.6,2.7,0.44
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Carpinus betulus,7,4,1.2,1.5,1.8,1.1,0.18
Celtis australis,15,10,3,3,7.1,0.8,0.13
Celtis australis,15,10,3,3,7.1,0.8,0.13
Celtis australis,20,12,3.6,3,7.1,1,0.16
Celtis australis,80,18,5.4,5,19.6,1.2,0.19
Celtis australis,20,8,2.4,3,7.1,1,0.16
Celtis australis,20,8,2.4,3,7.1,1,0.16
Celtis australis,20,8,2.4,3,7.1,1,0.16
Celtis australis,15,6,1.8,3,7.1,0.8,0.13
Tilia x europaea,7,5,1.5,2.5,4.9,1.6,0.26
Tilia x europaea,7,5,1.5,2.5,4.9,1.6,0.26
Tilia x europaea,7,5,1.5,2.5,4.9,1.6,0.26
Tilia x europaea,7,5,1.5,2.5,4.9,1.6,0.26
Tilia x europaea,7,5,1.5,2.5,4.9,1.6,0.26
Tilia x europaea,7,5,1.5,2.5,4.9,1.6,0.26
Tilia x europaea,20,6,1.8,6,28.3,6.7,1.08
Tilia x europaea,12,5,1.5,2,3.1,3.4,0.54
Tilia x europaea,35,8,2.4,8,50.3,14.3,2.3
Tilia x europaea,35,8,2.4,8,50.3,14.3,2.3
Tilia x europaea,35,8,2.4,8,50.3,14.3,2.3
Tilia x europaea,13,12,3.6,5.6,24.3,3.8,0.6
Tilia x europaea,13,12,3.6,5.6,24.3,3.8,0.6
Tilia x europaea,13,12,3.6,5.6,24.3,3.8,0.6
Tilia x europaea,13,12,3.6,5.6,24.3,3.8,0.6
Tilia x europaea,13,12,3.6,5.6,24.3,3.8,0.6
Tilia x europaea,13,12,3.6,5.6,24.3,3.8,0.6
Tilia x europaea,13,12,3.6,5.6,24.3,3.8,0.6
Tilia x europaea,13,12,3.6,5.6,24.3,3.8,0.6
Tilia x europaea,12,12,3.6,5.6,24.3,3.4,0.54
Tilia x europaea,12,12,3.6,5.6,24.3,3.4,0.54
Tilia x europaea,12,12,3.6,5.6,24.3,3.4,0.54
Tilia x europaea,11,5,1.5,3,7.1,3,0.48
Tilia x europaea,14,12,3.6,3,7.1,4.2,0.67
Tilia x europaea,25,20,6,4,12.6,9.1,1.46
Tilia x europaea,15,10,3,3,7.1,4.6,0.73
Tilia x europaea,10,10,3,3,7.1,2.6,0.43
Celtis australis,24,8,2.4,8,50.3,1.1,0.18
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,9,4.5,1.3,2.5,4.9,1.5,0.24
Carpinus betulus,10,5,1.5,2,3.1,1.7,0.27
Carpinus betulus,10,5,1.5,3,7.1,1.7,0.27
Carpinus betulus,10,5,1.5,2,3.1,1.7,0.27
Tilia cordata,6,4,1.2,1.5,1.8,0.6,0.09
Tilia cordata,6,4,1.2,1,0.8,0.6,0.09
Tilia cordata,13,6,1.8,4,12.6,1.6,0.25
Platanus x hispanica,29,11,3.3,10,78.5,7.1,1.14
Carpinus betulus,9,4,1.2,2.5,4.9,1.5,0.24
Carpinus betulus,12,4.5,1.3,3,7.1,2.1,0.34
Carpinus betulus,9,4.5,1.3,2,3.1,1.5,0.24
Tilia cordata,12,4,1.2,3,7.1,1.4,0.23
Tilia cordata,8,1,0.3,0.5,0.2,0.8,0.13
Tilia cordata,16,6,1.8,6,28.3,2.1,0.34
Tilia cordata,9,5,1.5,1.5,1.8,1,0.16
Tilia cordata,18,6,1.8,6,28.3,2.4,0.39
Tilia cordata,8,4.5,1.3,1,0.8,0.8,0.13
Tilia cordata,8,4,1.2,1,0.8,0.8,0.13
Tilia cordata,8,4.5,1.3,1,0.8,0.8,0.13
Tilia cordata,13,4,1.2,4,12.6,1.6,0.25
Tilia cordata,15,5,1.5,4,12.6,1.9,0.31
Tilia cordata,13,5,1.5,4,12.6,1.6,0.25
Tilia cordata,7,4,1.2,1,0.8,0.7,0.11
Tilia cordata,12,4.5,1.3,4,12.6,1.4,0.23
Tilia cordata,8,4,1.2,1.5,1.8,0.8,0.13
Tilia cordata,18,5,1.5,4,12.6,2.4,0.39
Tilia cordata,7,4,1.2,1.5,1.8,0.7,0.11
Tilia cordata,19,6,1.8,4,12.6,2.6,0.42
Tilia cordata,7,4,1.2,1,0.8,0.7,0.11
Tilia cordata,7,4,1.2,1,0.8,0.7,0.11
Tilia cordata,9,4,1.2,3,7.1,1,0.16
Tilia cordata,11,5,1.5,3,7.1,1.3,0.2
Tilia cordata,14,4.5,1.3,4,12.6,1.7,0.28
Tilia cordata,6,4,1.2,1,0.8,0.6,0.09
Tilia cordata,7,4,1.2,1,0.8,0.7,0.11
Tilia cordata,7,4,1.2,1,0.8,0.7,0.11
Tilia cordata,13,4,1.2,3,7.1,1.6,0.25
Tilia cordata,15,4.5,1.3,4,12.6,1.9,0.31
Tilia cordata,6,4,1.2,1,0.8,0.6,0.09
Tilia cordata,6,4,1.2,1,0.8,0.6,0.09
Tilia cordata,6,4,1.2,1,0.8,0.6,0.09
Tilia cordata,5,3,0.9,1,0.8,0.4,0.07000000000000001
Tilia cordata,5,4,1.2,1,0.8,0.4,0.07000000000000001
Tilia cordata,17,5,1.5,4,12.6,2.3,0.36
Tilia cordata,8,4,1.2,1.5,1.8,0.8,0.13
Tilia cordata,16,5,1.5,5,19.6,2.1,0.34
Platanus x hispanica,10,7,2.1,2,3.1,1.5,0.24
Platanus x hispanica,10,6,1.8,2,3.1,1.5,0.24
