Tree ID,Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,canopy_cov,index_right,numero_cir,area,perimetro,Region,fumetto
417.0,Parrotia persica,18,744.35,83.40000000000001,13.4,2.4,0.39,0.1,0.15,,,62,0.32,,0.86,6.5,7,2.1,5,19.6,42.7,2.2,46.06430307041352,11.09768339273195,POINT (11.09768339273195 46.06430307041352),19.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
418.0,Parrotia persica,18,744.35,83.40000000000001,13.4,2.4,0.39,0.1,0.12,,,52,0.27,,0.78,6.5,6,1.8,5,19.6,35.9,1.8,46.06420162468022,11.09769377155014,POINT (11.09769377155014 46.06420162468022),19.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
419.0,Parrotia persica,11,482.32,25.4,4.08,1.2,0.19,0,0.07000000000000001,,,30.6,0.16,,0.42,3.2,6,1.8,4,12.6,21.1,1.1,46.06411308335684,11.09770231195168,POINT (11.09770231195168 46.06411308335684),12.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
420.0,Parrotia persica,15,616.5599999999999,53.6,8.609999999999999,1.9,0.3,0.1,0.1,,,42.4,0.22,,0.62,5,6,1.8,5,19.6,29.3,1.5,46.06402507219466,11.09771138960918,POINT (11.09771138960918 46.06402507219466),19.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
422.0,Parrotia persica,15,616.5599999999999,53.6,8.609999999999999,1.9,0.3,0.1,0.13,,,55.1,0.28,,0.72,5,6,1.8,5,19.6,38,2,46.06393473202783,11.09771986180382,POINT (11.09771986180382 46.06393473202783),19.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
423.0,Parrotia persica,18,744.35,83.40000000000001,13.4,2.4,0.39,0.1,0.11,,,47.7,0.25,,0.75,6.5,7,2.1,5,19.6,32.9,1.7,46.06384727000435,11.0977284430343,POINT (11.0977284430343 46.06384727000435),19.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
424.0,Parrotia persica,11,482.32,25.4,4.08,1.2,0.19,0,0.07000000000000001,,,30.6,0.16,,0.42,3.2,6,1.8,4,12.6,21.1,1.1,46.06452388305124,11.09751500864077,POINT (11.09751500864077 46.06452388305124),12.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
1253.0,Morus nigra,6,100.32,3.1,0.5,0.5,0.08,0,0.03,,,11.4,0.06,,0.17,1.4,4,1.2,3,7.1,7.8,0.7,46.06589587304322,11.09522158947974,POINT (11.09522158947974 46.06589587304322),7.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
7655.0,Cupressus,26.2,1193.03,494.5,79.44,11.6,1.87,0,0.05,,,20.2,0.1,,2.02,31,8.6,2.6,2.3,4.3,13.9,3.3,46.06159667341939,11.101892676704,POINT (11.101892676704 46.06159667341939),4.3,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
7656.0,Cupressus,26.2,1193.03,494.5,79.44,11.6,1.87,0,0.05,,,20.2,0.1,,2.02,31,8.6,2.6,2.3,4.3,13.9,3.3,46.06153471525212,11.10188234722781,POINT (11.10188234722781 46.06153471525212),4.3,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
7657.0,Cupressus,26.2,1193.03,494.5,79.44,11.6,1.87,0,0.05,,,20.2,0.1,,2.02,31,8.6,2.6,2.3,4.3,13.9,3.3,46.061363155549,11.10230753737334,POINT (11.10230753737334 46.061363155549),4.3,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
7658.0,Cupressus,26.2,1193.03,494.1,79.38,11.6,1.87,0,0.04,,,15.5,0.08,,1.98,31,8.6,2.6,2.3,4.3,10.7,2.5,46.06123938162003,11.10228599092315,POINT (11.10228599092315 46.06123938162003),4.3,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
7659.0,Cupressus,26.2,1193.03,494.3,79.41,11.6,1.87,0,0.04,,,17.9,0.09,,2,31,8.6,2.6,2.3,4.3,12.3,2.9,46.06126629420839,11.10199683223896,POINT (11.10199683223896 46.06126629420839),4.3,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11643.0,Ostrya carpinifolia,15,616.5599999999999,60.5,9.73,3.1,0.49,0,0.05,,,19.6,0.1,,0.64,8.199999999999999,5,1.5,3,7.1,13.5,0.9,46.06386596167515,11.09755536333805,POINT (11.09755536333805 46.06386596167515),7.1,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11644.0,Pseudotsuga menziesii,60,5701.31,449.6,72.23,5.2,0.83,0.5,1.03,,,429,2.21,,4.07,13.8,19,5.7,9,63.6,295.7,34.7,46.0639676666746,11.09754260833805,POINT (11.09754260833805 46.0639676666746),63.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11645.0,Robinia pseudoacacia,60,3414.61,987.8,158.71,16.5,2.65,0.1,0.1,,,43,0.22,,2.97,44,6,1.8,4,12.6,29.7,1.6,46.06403055167489,11.09752293000504,POINT (11.09752293000504 46.06403055167489),12.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11646.0,Robinia pseudoacacia,60,3414.61,987.8,158.71,16.5,2.65,0.1,0.1,,,43,0.22,,2.97,44,6,1.8,4,12.6,29.7,1.6,46.06403055167489,11.09752293000504,POINT (11.09752293000504 46.06403055167489),12.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11647.0,Robinia pseudoacacia,60,3414.61,987.8,158.71,16.5,2.65,0,0.09,,,35.6,0.18,,2.92,44,6,1.8,4,12.6,24.5,1.3,46.06410248667481,11.097560583338,POINT (11.097560583338 46.06410248667481),12.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11648.0,Robinia pseudoacacia,60,3414.61,987.8,158.71,16.5,2.65,0.1,0.1,,,43,0.22,,2.97,44,6,1.8,4,12.6,29.7,1.6,46.06414169167506,11.09753355333806,POINT (11.09753355333806 46.06414169167506),12.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11649.0,Robinia pseudoacacia,60,3414.61,987.8,158.71,16.5,2.65,0.1,0.1,,,40.6,0.21,,2.95,44,6,1.8,4,12.6,28,1.5,46.06418356167465,11.09753167167204,POINT (11.09753167167204 46.06418356167465),12.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
11650.0,Robinia pseudoacacia,60,3414.61,987.8,158.71,16.5,2.65,0.1,0.1,,,43,0.22,,2.97,44,6,1.8,4,12.6,29.7,1.6,46.06428559500808,11.09753316500496,POINT (11.09753316500496 46.06428559500808),12.6,2,4,8663138,16403,SARDAGNA,Circoscrizione n. 4 - SARDAGNA
4.0,Acer pseudoplatanus,11,482.46,25.7,4.13,1.6,0.26,0,0.02,,,10.3,0.05,,0.34,4.3,5,1.5,2.5,4.9,7.1,0.5,46.06377842075697,11.15016968073646,POINT (11.15016968073646 46.06377842075697),4.9,5,7,15433274,18464,POVO,Circoscrizione n. 7 - POVO
