continent,total_no_deaths,percentage
Asia,1525985.0,22.699837514572444
Europe,2012110.0,29.931205130749227
Africa,257488.0,3.8302707837575265
North America,1560263.0,23.209740973862353
South America,1343664.0,19.987715786315373
Oceania,22939.0,0.3412298107430789
