Tree Type,ARGENTARIO,BONDONE,CENTRO STORICO PIEDICASTELLO,GARDOLO,MATTARELLO,MEANO,OLTREFERSINA,POVO,RAVINA-ROMAGNANO,S.GIUSEPPE-S.CHIARA,SARDAGNA,VILLAZZANO,Tree Type Grand Total
Acer palmatum,0,0,11,1,12,1,0,12,0,4,0,0,41
Prunus,5,4,10,1,0,1,8,0,0,7,0,2,38
Quercus petraea,0,0,23,0,1,1,9,0,0,3,0,1,38
Fraxinus americana,1,0,0,3,0,0,0,0,10,0,0,22,36
Ligustrum lucidum,0,0,16,0,0,0,10,0,1,9,0,0,36
Thuja orientalis,0,0,32,0,0,0,4,0,0,0,0,0,36
Acer buergerianum,0,1,4,0,0,0,28,0,1,1,0,0,35
Abies alba,1,0,19,0,2,1,3,0,3,1,0,1,31
Crataegus,2,0,0,0,21,0,7,0,1,0,0,0,31
Pseudotsuga menziesii,0,0,3,0,2,0,9,0,0,16,1,0,31
Pinus sylvestris,0,0,3,1,0,0,6,1,17,2,0,0,30
Platanus,0,0,1,0,0,0,25,0,0,1,0,0,27
Acer x freemanii,0,0,2,19,0,0,0,0,0,5,0,0,26
Quercus ilex,5,0,5,9,0,0,5,0,0,2,0,0,26
Ulmus glabra,0,0,8,2,0,0,11,0,1,4,0,0,26
Clerodendrum trichotomum,0,0,11,0,0,0,4,0,10,0,0,0,25
Acer rubrum,1,0,10,0,0,0,5,0,0,8,0,0,24
Pinus strobus,5,0,4,0,0,0,13,0,0,2,0,0,24
Ligustrum japonicum,0,0,9,0,0,0,0,0,2,12,0,0,23
Paulownia tomentosa,2,0,13,2,0,0,1,0,0,5,0,0,23
Tilia,0,0,5,6,0,0,10,0,0,2,0,0,23
Fagus,3,10,2,0,2,3,2,0,0,0,0,0,22
Platanus orientalis,0,0,1,0,0,0,1,0,0,20,0,0,22
Populus alba,2,0,7,4,0,4,5,0,0,0,0,0,22
Berberis thunbergii,0,0,0,0,0,0,1,0,0,0,0,20,21
Prunus dulcis,1,0,0,18,0,1,0,0,0,1,0,0,21
Pyrus communis,0,0,2,5,0,0,4,0,7,1,0,2,21
Betula nigra,0,1,1,18,0,0,0,0,0,0,0,0,20
Platanus occidentalis,2,0,2,0,0,0,0,0,0,16,0,0,20
Prunus serrulata,0,1,0,7,0,0,6,3,2,0,1,0,20
Ilex aquifolium,0,0,3,0,0,0,1,0,0,15,0,0,19
Malus floribunda,0,0,0,1,6,2,0,0,4,0,0,6,19
Quercus,0,0,4,7,0,0,7,0,0,1,0,0,19
Tilia x vulgaris,0,0,0,0,0,0,2,0,0,17,0,0,19
Catalpa bignonioides,1,0,10,0,2,0,0,0,1,4,0,0,18
Chamaecyparis lawsoniana,0,0,2,0,0,0,14,0,0,2,0,0,18
Ilex,0,0,14,0,0,0,1,0,0,2,0,0,17
Sambucus nigra,1,0,8,2,0,0,5,0,0,1,0,0,17
Buxus sempervirens,0,0,11,0,0,0,5,0,0,0,0,0,16
Sorbus aucuparia,0,0,1,0,1,1,4,0,0,9,0,0,16
Lagerstroemia indica,0,0,9,0,0,0,6,0,0,0,0,0,15
Ligustrum,0,0,4,0,0,0,0,0,0,11,0,0,15
Tilia x euchlora,0,0,0,0,0,0,9,0,0,6,0,0,15
Juglans nigra,3,5,1,1,0,0,1,0,1,1,0,1,14
Koelreuteria paniculata,0,0,10,1,2,0,0,0,0,1,0,0,14
Ulmus pumila,1,0,7,0,0,0,1,0,0,5,0,0,14
Acer monspessulanum,0,0,2,1,0,0,0,0,6,4,0,0,13
