,year,month,min_temp,max_temp,avg
0,1988,1,-1.1290322580645162,3.5483870967741935,1.2096774193548385
1,1988,2,-1.896551724137931,6.241379310344827,2.1724137931034484
2,1988,3,1.6774193548387097,12.806451612903226,7.241935483870968
3,1988,4,7.3,18.366666666666667,12.833333333333334
4,1988,5,12.064516129032258,22.096774193548388,17.080645161290324
5,1988,6,12.333333333333334,24.3,18.316666666666666
6,1988,7,15.774193548387096,29.70967741935484,22.741935483870968
7,1988,8,15.03225806451613,30.387096774193548,22.70967741935484
8,1988,9,10.333333333333334,25.1,17.71666666666667
9,1988,10,8.064516129032258,16.64516129032258,12.35483870967742
10,1988,11,-4.5,4.633333333333334,0.06666666666666687
11,1988,12,-3.6129032258064515,4.387096774193548,0.38709677419354827
12,1992,1,-3.7096774193548385,2.870967741935484,-0.41935483870967727
13,1992,2,-2.6551724137931036,7.448275862068965,2.3965517241379306
14,1992,3,2.838709677419355,14.32258064516129,8.580645161290322
15,1992,4,5.9,17.933333333333334,11.916666666666668
16,1992,5,11.129032258064516,25.967741935483872,18.548387096774192
17,1992,6,12.3,26.5,19.4
18,1992,7,15.774193548387096,29.612903225806452,22.693548387096776
19,1992,8,16.741935483870968,33.096774193548384,24.919354838709676
20,1992,9,11.633333333333333,25.166666666666668,18.4
21,1992,10,6.580645161290323,13.516129032258064,10.048387096774194
22,1992,11,1.2,9.466666666666667,5.333333333333333
23,1992,12,-2.870967741935484,4.096774193548387,0.6129032258064515
24,1993,1,-3.6451612903225805,4.516129032258065,0.4354838709677422
25,1993,2,-3.5,6.785714285714286,1.6428571428571428
26,1993,3,1.2258064516129032,14.774193548387096,8.0
27,1993,4,6.133333333333334,20.233333333333334,13.183333333333334
28,1993,5,10.387096774193548,25.580645161290324,17.983870967741936
29,1993,6,13.8,28.133333333333333,20.96666666666667
30,1993,7,14.580645161290322,28.580645161290324,21.580645161290324
31,1993,8,15.35483870967742,30.967741935483872,23.161290322580648
32,1993,9,11.066666666666666,22.533333333333335,16.8
33,1993,10,7.354838709677419,13.935483870967742,10.64516129032258
34,1993,11,1.2333333333333334,8.466666666666667,4.85
35,1993,12,-3.4516129032258065,4.064516129032258,0.30645161290322576
36,1994,1,-2.4193548387096775,5.064516129032258,1.3225806451612903
37,1994,2,-1.9285714285714286,6.357142857142857,2.214285714285714
38,1994,3,3.5483870967741935,18.06451612903226,10.806451612903226
39,1994,4,5.233333333333333,18.433333333333334,11.833333333333334
40,1994,5,10.838709677419354,23.64516129032258,17.241935483870968
41,1994,6,13.7,28.2,20.95
42,1994,7,16.70967741935484,32.064516129032256,24.387096774193548
43,1994,8,16.06451612903226,31.64516129032258,23.85483870967742
44,1994,9,12.433333333333334,24.366666666666667,18.4
45,1994,10,5.903225806451613,14.709677419354838,10.306451612903226
46,1994,11,3.7,10.466666666666667,7.083333333333334
47,1994,12,-2.0,4.548387096774194,1.274193548387097
48,1995,1,-5.451612903225806,3.5806451612903225,-0.9354838709677418
49,1995,2,-2.142857142857143,8.571428571428571,3.2142857142857144
50,1995,3,-1.5161290322580645,13.129032258064516,5.806451612903226
51,1995,4,3.5,19.9,11.7
52,1995,5,9.870967741935484,23.29032258064516,16.58064516129032
53,1995,6,12.2,25.7,18.95
54,1995,7,17.258064516129032,31.903225806451612,24.58064516129032
55,1995,8,14.838709677419354,29.161290322580644,22.0
56,1995,9,9.266666666666667,22.333333333333332,15.8
57,1995,10,6.225806451612903,16.161290322580644,11.193548387096774
58,1995,11,0.7333333333333333,8.966666666666667,4.85
59,1995,12,-1.4193548387096775,4.225806451612903,1.4032258064516128
60,1996,1,-1.3225806451612903,3.838709677419355,1.2580645161290325
61,1996,2,-3.0,6.724137931034483,1.8620689655172415
62,1996,3,0.7096774193548387,12.03225806451613,6.370967741935484
63,1996,4,6.133333333333334,20.133333333333333,13.133333333333333
