Name,Size,Carbon,Canopy
Ficus carica,23.580000000000002,195.74,18.6
Forsythia viridissima,28.2,320.9,21.7
Forsythia x intermedia,28.2,320.9,21.7
Fraxinus,12.869565217391305,67.15942028985508,14.288405797101449
Fraxinus americana,16.75,84.0611111111111,9.036111111111111
Fraxinus angustifolia,13.933333333333334,64.72727272727273,11.982575757575757
Fraxinus angustifolia ssp. Oxycarpa,10.5,38.2,4.45
Fraxinus excelsior,20.959027777777777,126.4486111111111,27.930555555555557
Fraxinus ornus,16.423664122137403,105.78931297709923,22.174045801526717
Ginkgo biloba,38.58983050847458,238.70338983050848,32.41016949152542
Gleditsia triacanthos,26.316666666666666,189.68833333333333,32.73166666666667
Hedera helix,28.2,343.85,21.7
Hibiscus syriacus,6.0,10.0,1.1
Ilex,14.799999999999999,127.42352941176469,13.6
Ilex aquifolium,10.65263157894737,33.45789473684211,3.9157894736842107
Jasminum,28.2,320.9,21.7
Juglans,24.03333333333333,174.29999999999998,70.56666666666666
Juglans nigra,24.142857142857142,98.37142857142858,19.55
Juglans regia,41.6,420.92857142857144,63.17142857142857
Juniperus chinensis,28.2,227.29999999999998,21.7
Juniperus drupacea,46.375,1477.6999999999998,13.725000000000001
Koelreuteria paniculata,30.307142857142857,400.1857142857143,39.15714285714286
Laburnum anagyroides,28.2,233.3,21.7
Lagerstroemia,40.0,551.2,19.6
Lagerstroemia indica,4.926666666666667,3.6866666666666665,0.8266666666666667
Larix decidua,22.555555555555557,88.37777777777778,19.72222222222222
Laurus nobilis,26.683333333333334,539.8666666666667,27.400000000000002
Ligustrum,26.666666666666668,313.9933333333333,18.759999999999998
Ligustrum japonicum,9.591304347826087,28.317391304347826,5.039130434782609
Ligustrum lucidum,26.566666666666666,234.19722222222222,23.177777777777777
Liquidambar styraciflua,21.05531914893617,99.62695035460993,16.27801418439716
Liriodendron tulipifera,15.979734219269101,99.19634551495017,11.18172757475083
Lonicera,28.2,266.1,21.7
Maclura pomifera,16.0,48.4,3.1
Magnolia,14.25,46.76666666666667,8.516666666666667
Magnolia grandiflora,15.391666666666667,60.041666666666664,7.041666666666667
Magnolia kobus,5.0,3.6,0.8
Magnolia x soulangeana,12.161538461538461,43.892307692307696,37.06153846153846
Malus,12.11111111111111,39.144444444444446,9.777777777777779
Malus floribunda,18.57894736842105,94.33684210526314,7.505263157894737
Malus sylvestris,25.0,192.25,9.85
Metasequoia glyptostroboides,33.375,196.825,30.625
Morus,22.075,85.625,24.175
Morus alba,19.907894736842106,79.46315789473684,33.07236842105263
Morus nigra,18.59130434782609,63.32934782608696,36.09565217391304
Nerium oleander,10.0,16.84285714285714,3.0285714285714285
