,size
532,22.0
533,15.0
534,15.0
535,15.0
536,15.0
537,35.0
538,36.0
539,62.0
540,28.0
541,38.0
542,54.0
543,24.0
544,62.0
545,48.0
546,56.0
547,18.0
548,18.0
549,34.0
550,34.0
551,34.0
552,34.0
553,21.0
554,34.0
555,42.0
556,26.0
557,10.0
558,10.0
559,10.0
560,10.0
561,10.0
562,28.0
563,28.0
564,28.0
565,28.0
566,28.0
567,28.0
568,28.0
569,28.0
570,28.0
571,28.0
572,28.0
573,28.0
574,18.0
575,18.0
576,18.0
577,18.0
578,18.0
579,18.0
580,50.0
581,25.0
582,80.0
583,78.0
584,70.0
585,46.0
586,46.0
587,52.0
588,72.0
589,60.0
590,54.0
591,20.0
592,55.1
593,74.2
594,63.7
595,18.0
596,62.7
597,74.5
598,47.8
599,18.0
600,24.0
601,62.4
602,53.8
603,78.6
604,85.0
605,62.4
606,67.2
607,57.0
608,79.3
609,95.8
610,28.2
611,28.2
612,28.2
613,28.2
614,28.2
615,28.2
616,28.2
617,8.5
618,28.2
619,28.2
620,28.2
621,28.2
622,28.2
623,28.2
624,28.2
625,30.1
626,8.5
627,8.5
628,8.5
629,17.0
630,28.2
631,28.2
632,28.2
633,28.2
634,28.2
635,8.5
636,28.2
637,28.2
638,28.2
639,28.2
640,28.2
641,28.2
642,28.2
643,7.0
644,18.0
645,17.0
646,17.0
647,10.0
648,10.0
649,10.0
650,10.0
651,10.0
652,10.0
653,10.0
654,35.0
655,16.0
656,13.0
657,13.0
658,16.0
659,25.0
660,13.0
661,18.0
662,18.0
663,18.0
664,18.0
665,18.0
666,15.0
667,15.0
668,15.0
669,15.0
670,19.0
671,19.0
672,19.0
673,14.0
674,15.0
675,15.0
676,10.0
677,18.0
678,15.0
679,15.0
680,15.0
681,18.0
682,18.0
683,9.0
684,17.0
685,13.0
686,24.0
687,24.0
688,18.0
689,26.0
690,19.0
691,19.0
692,19.0
693,19.0
694,19.0
695,19.0
696,21.0
697,24.0
698,21.0
699,21.0
700,27.0
701,16.0
702,32.0
703,15.0
704,15.0
705,35.0
706,13.0
707,13.0
708,13.0
709,13.0
710,13.0
711,13.0
712,13.0
713,13.0
714,12.0
715,12.0
716,26.2
717,26.2
718,26.2
719,26.2
720,26.2
721,26.2
722,26.2
723,26.2
724,26.2
725,26.2
726,26.2
727,26.2
728,26.2
729,26.2
