size
8.0
8.0
9.0
25.0
9.0
10.0
10.0
9.0
10.0
10.0
8.0
9.0
9.0
10.0
22.0
11.0
18.0
18.0
18.0
11.0
15.0
15.0
18.0
11.0
6.0
26.2
26.2
26.2
26.2
26.2
15.0
60.0
60.0
60.0
60.0
60.0
60.0
60.0
11.0
11.0
18.0
18.0
18.0
18.0
15.0
40.0
20.0
14.0
22.0
32.0
16.0
34.0
44.0
8.0
40.0
21.0
28.0
13.0
10.0
17.0
10.0
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
60.0
15.0
15.0
20.0
20.0
25.0
25.0
15.0
25.0
35.0
22.0
35.0
35.0
35.0
60.0
48.0
60.0
60.0
50.0
60.0
45.0
10.0
15.0
15.0
15.0
55.0
55.0
49.0
46.0
46.0
51.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
29.0
15.0
15.0
29.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
15.0
25.0
15.0
15.0
15.0
17.0
17.0
17.0
17.0
35.0
25.0
25.0
35.0
35.0
35.0
52.0
15.0
15.0
21.0
15.0
20.0
20.0
32.0
20.0
20.0
20.0
20.0
20.0
31.0
28.0
28.0
28.0
28.0
35.0
28.0
25.0
43.0
41.0
48.0
30.0
15.0
5.0
35.0
42.0
32.0
37.0
48.0
48.0
5.0
15.0
32.0
32.0
38.0
38.0
15.0
38.0
38.0
43.0
43.0
15.0
34.0
15.0
15.0
10.0
10.0
21.0
24.0
21.0
27.0
27.0
29.0
29.0
29.0
29.0
29.0
29.0
38.0
38.0
29.0
29.0
29.0
28.0
18.0
28.0
28.0
18.0
28.0
57.0
39.0
42.0
42.0
28.2
28.2
9.0
15.0
8.0
11.0
11.0
14.0
5.0
12.0
12.0
9.0
10.0
10.0
4.0
10.0
12.0
2.0
4.0
5.0
8.0
10.0
4.0
6.0
8.0
10.0
8.0
8.0
11.0
11.0
11.0
8.0
8.0
9.9
9.9
7.0
7.0
11.0
11.0
9.0
10.0
10.0
10.0
10.0
11.0
11.0
11.0
11.0
11.0
11.0
11.0
12.0
12.0
20.0
25.0
18.0
25.0
16.0
16.0
80.0
24.0
18.0
65.0
166.0
14.0
16.0
16.0
28.0
18.0
50.0
42.0
19.0
17.0
17.0
5.0
22.0
18.0
11.0
25.0
32.0
28.0
32.0
38.0
16.0
15.0
15.0
12.0
17.0
16.0
18.0
18.0
18.0
18.0
13.0
13.0
10.0
12.0
12.0
12.0
10.0
20.0
20.0
20.0
20.0
20.0
20.0
10.0
10.0
10.0
10.0
10.0
4.0
4.0
4.0
4.0
4.0
4.0
4.0
10.0
20.0
10.0
25.0
35.0
10.0
10.0
20.0
10.0
7.0
15.0
15.0
20.0
80.0
20.0
20.0
20.0
15.0
20.0
30.0
8.0
11.0
7.0
20.0
8.0
5.0
10.0
10.0
5.0
20.0
20.0
15.0
20.0
10.0
10.0
20.0
10.0
20.0
20.0
20.0
10.0
20.0
10.0
16.3
7.0
30.0
20.0
6.0
6.0
6.0
13.0
18.0
25.0
25.0
20.0
20.0
20.0
20.0
20.0
20.0
30.0
20.0
15.0
15.0
10.0
14.0
12.0
8.0
8.0
30.0
20.0
7.0
7.0
20.0
25.0
10.0
7.0
20.0
10.0
10.0
10.0
7.0
7.0
7.0
10.0
15.0
20.0
20.0
9.0
25.0
15.0
15.0
15.0
20.0
15.0
20.0
20.0
50.0
12.0
11.0
14.0
25.0
15.0
10.0
28.0
20.0
40.0
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
8.0
100.0
15.0
14.0
14.0
12.0
11.0
15.0
12.0
12.0
32.0
31.0
41.0
20.0
38.0
48.0
35.0
50.0
34.0
43.0
43.0
49.0
38.0
38.0
60.0
48.0
20.0
20.0
20.0
44.0
15.0
50.0
32.0
19.0
20.0
20.0
12.0
18.0
20.0
20.0
18.0
19.0
21.0
28.0
28.0
22.0
28.0
15.0
15.0
15.0
15.0
25.0
25.0
25.0
18.0
18.0
22.0
22.0
15.0
15.0
15.0
15.0
35.0
36.0
62.0
28.0
38.0
54.0
24.0
62.0
48.0
56.0
18.0
18.0
34.0
34.0
34.0
34.0
21.0
34.0
42.0
26.0
10.0
10.0
10.0
10.0
10.0
28.0
28.0
28.0
28.0
28.0
28.0
28.0
28.0
28.0
28.0
28.0
28.0
18.0
18.0
18.0
18.0
18.0
18.0
50.0
25.0
80.0
78.0
70.0
46.0
46.0
52.0
72.0
60.0
54.0
20.0
55.1
74.2
63.7
18.0
62.7
74.5
47.8
18.0
24.0
62.4
53.8
78.6
85.0
62.4
67.2
57.0
79.3
95.8
28.2
28.2
28.2
28.2
28.2
28.2
28.2
8.5
28.2
28.2
28.2
28.2
28.2
28.2
28.2
30.1
8.5
8.5
8.5
17.0
28.2
28.2
28.2
28.2
28.2
8.5
28.2
28.2
28.2
28.2
28.2
28.2
28.2
7.0
18.0
17.0
17.0
10.0
10.0
10.0
10.0
10.0
10.0
10.0
35.0
16.0
13.0
13.0
16.0
25.0
13.0
18.0
18.0
18.0
18.0
18.0
15.0
15.0
15.0
15.0
19.0
19.0
19.0
14.0
15.0
15.0
10.0
18.0
15.0
15.0
15.0
18.0
18.0
9.0
17.0
13.0
24.0
24.0
18.0
26.0
19.0
19.0
19.0
19.0
19.0
19.0
21.0
24.0
21.0
21.0
27.0
16.0
32.0
15.0
15.0
35.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
12.0
12.0
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
26.2
7.0
8.0
8.0
8.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
7.0
35.0
22.0
19.0
30.0
35.0
25.0
50.0
35.0
42.0
22.0
20.0
28.0
35.0
24.0
12.0
12.0
12.0
12.0
10.0
10.0
16.0
18.0
10.0
10.0
10.0
10.0
10.0
3.2
15.0
55.0
55.0
55.0
70.0
41.0
22.0
22.0
28.0
28.0
28.0
28.0
30.0
30.0
28.0
28.0
28.0
28.0
28.0
30.0
27.0
27.0
27.0
27.0
38.0
27.0
31.0
37.0
38.0
27.0
27.0
36.0
36.0
36.0
6.0
6.0
6.0
6.0
15.0
15.0
18.0
18.0
22.0
22.0
22.0
22.0
22.0
22.0
22.0
22.0
22.0
22.0
22.0
22.0
22.0
22.0
25.0
25.0
24.0
32.0
30.0
30.0
30.0
25.0
25.0
25.0
25.0
